"","X1","Y1","ProbId1","X2","Y2","ProbId2","X3","Y3","ProbId3","X4","Y4","ProbId4","X5","Y5","ProbId5","X6","Y6","ProbId6","X7","Y7","ProbId7","X8","Y8","ProbId8"
"1",809.96,908,0.59708,753.79,265.08,0.83043,593.51,487.03,0.85748,724.96,872.08,1,1075.9,867.43,0.99999,676.7,504.63,1,NA,NA,NA,1000.1,829.26,0.89362
"2",804.04,905.39,0.59708,760.6,261.16,0.83043,593.07,483.55,0.85748,722.84,866.8,1,1078.3,871.98,0.99999,670.41,497.44,1,NA,NA,NA,1004.2,831.44,0.89362
"3",798.28,902.63,0.59708,766.68,256.81,0.83043,592.14,479.3,0.85748,720.39,859.39,1,1080.2,875.55,0.99999,665.51,490.87,1,NA,NA,NA,1009.7,834.24,0.89362
"4",793.67,900.79,0.59708,770.12,255.09,0.83043,591.85,477.25,0.85748,718.56,853.77,1,1082.3,879.54,0.99999,661.15,484.83,1,NA,NA,NA,1013.9,836.34,0.89362
"5",789.8,898.84,0.59708,778.29,254.59,0.83043,591.13,474.51,0.85748,716.94,849,1,1085.5,883.08,0.99999,658.21,480.52,1,NA,NA,NA,1017.7,837.93,0.89362
"6",786.99,897.72,0.59708,789.82,252.47,0.83043,590.36,473.18,0.85748,715.55,844.4,1,1090.2,883.76,0.99999,654.93,475.8,1,NA,NA,NA,1025.2,837.82,0.89362
"7",774.53,902.53,0.59708,796.44,250.41,0.83043,588.2,475.03,0.85748,713.97,839.61,1,1096.1,881.73,0.99999,651.95,470.95,1,NA,NA,NA,1035.3,837.11,0.89362
"8",748.28,904.52,1,803.28,248.02,0.83043,586.37,478.13,0.85748,716.27,832.34,1,1101.6,878.26,0.99999,651.88,464.95,1,NA,NA,NA,1045.2,836.02,0.89362
"9",729.94,895.69,1,808.77,245.54,0.83043,584.34,482.27,0.85748,723.97,820.76,1,1105.6,875.55,0.99999,654.62,455.25,1,NA,NA,NA,1053.8,834.33,0.89362
"10",717.11,888.23,1,814.61,242.07,0.83043,582.44,485.94,0.85748,731.08,809.59,1,1110.2,872.56,0.99999,657.55,446.25,1,NA,NA,NA,1061,832.89,0.89362
"11",707.17,882.15,1,820.52,239.51,0.83043,581,488.7,0.85748,740.55,796.38,1,1113.6,870.26,0.99999,660.44,439.07,1,NA,NA,NA,1067.7,831.46,0.89362
"12",697.89,875.93,1,827.6,236.3,0.83043,579.18,492.21,0.85748,747.14,786.01,1,1116.5,868.11,0.99999,663.25,432.8,1,NA,NA,NA,1074.1,829.98,0.89362
"13",690.25,870.34,1,831.14,235.71,0.83043,577.54,497.01,0.85748,753.76,776.16,1,1119.9,865.7,0.99999,666.13,426.81,1,NA,NA,NA,1079.2,828.85,0.89362
"14",683.16,865.09,1,839.93,234.99,0.83043,577.43,504.44,0.85748,759.08,768.42,1,1122.8,863.65,0.99999,668.33,421.75,1,NA,NA,NA,1084.4,827.35,0.89362
"15",678.37,861.18,1,850.25,232.17,0.83043,577.17,512.29,0.85748,761.43,759.38,1,1126,858.9,0.99999,670.42,417.34,1,NA,NA,NA,1089.4,823.91,0.89362
"16",673.6,852.62,1,857.01,229.96,0.83043,576.79,519.25,0.85748,755.36,747.08,1,1132.5,850.23,0.99999,672.21,413.23,1,NA,NA,NA,1097.4,818.68,0.89362
"17",668.23,843.33,1,862.81,227.96,0.83043,576.22,525.08,0.85748,749.5,734.81,1,1139.3,843.56,0.99999,673.96,409.5,1,NA,NA,NA,1104.9,813.79,0.89362
"18",663.06,834.02,1,867.86,226.67,0.83043,573.95,535.29,0.85748,744.18,725.22,1,1146,836.62,0.99999,674.95,405.22,1,NA,NA,NA,1111.5,808.54,0.89362
